,date,open,high,low,close,volume,average,barCount
0,2015-08-17,107.3,109.28,106.84,109.05,68520,108.4975,35586
1,2015-08-18,108.04,108.25,106.8,106.94,107016,107.3285,50026
2,2015-08-19,106.65,107.75,105.77,106.45,80767,106.5915,46040
3,2015-08-20,104.34,105.0,99.76,100.02,312888,101.354,145667
4,2015-08-21,97.5,100.63,96.61,98.84,274320,98.872,134797
5,2015-08-24,93.38,100.0,90.0,95.36,252772,96.5675,147330
6,2015-08-25,99.97,100.09,95.72,95.89,154921,98.31,90621
7,2015-08-26,98.69,99.49,96.26,99.23,114504,97.8305,68254
8,2015-08-27,101.35,102.62,99.78,102.17,151224,101.6475,84420
9,2015-08-28,102.19,103.34,101.81,102.48,93567,102.4815,53271
10,2015-08-31,102.3,102.46,100.91,101.88,65109,101.807,37402
11,2015-09-01,99.31,101.34,99.15,99.51,120568,100.174,68594
12,2015-09-02,100.92,101.94,99.55,101.89,99115,100.6225,58185
13,2015-09-03,102.2,103.03,101.46,101.99,75872,102.16,44508
14,2015-09-04,100.96,101.82,100.36,100.97,69653,101.031,40306
15,2015-09-08,102.95,104.15,102.51,104.01,71258,103.3445,41044
16,2015-09-09,104.75,104.95,101.68,101.91,76878,103.25,43982
17,2015-09-10,101.85,103.22,101.33,102.6,75301,102.334,45400
18,2015-09-11,102.35,104.5,102.2,104.48,79201,103.4845,48804
19,2015-09-14,104.65,104.9,102.99,103.82,57699,103.706,37186
20,2015-09-15,103.25,103.8,101.83,103.43,80424,102.917,46378
21,2015-09-16,103.32,104.07,102.75,103.96,56081,103.391,33844
22,2015-09-17,104.2,105.95,103.75,104.2,66541,104.6435,38136
23,2015-09-18,103.2,104.21,102.39,102.84,106371,103.2915,48379
24,2015-09-21,103.68,103.83,102.46,103.41,50803,103.1715,31806
25,2015-09-22,102.18,102.75,101.48,102.49,67111,102.0975,38470
26,2015-09-23,102.44,102.63,101.38,101.57,50265,101.851,29217
27,2015-09-24,101.0,101.33,99.24,100.62,88588,99.9155,49275
28,2015-09-25,101.51,101.8,99.58,100.3,60160,100.74,38668
29,2015-09-28,99.9,100.39,98.29,98.49,70154,99.2535,42935
30,2015-09-29,98.51,100.06,97.77,99.42,82976,99.0695,48363
31,2015-09-30,100.78,102.43,100.5,102.2,65448,101.3975,41097
32,2015-10-01,102.97,103.47,101.08,102.67,62352,102.0315,37630
33,2015-10-02,101.21,103.0,99.88,103.0,71744,101.6685,43577
34,2015-10-05,103.7,104.2,102.61,103.85,54579,103.595,30824
35,2015-10-06,104.19,104.51,103.21,103.77,46816,103.842,27097
36,2015-10-07,104.49,104.59,102.66,103.39,60269,103.431,38251
37,2015-10-08,103.2,104.89,102.7,104.61,64693,103.892,38992
38,2015-10-09,105.09,106.05,104.67,105.56,58950,105.4315,36308
39,2015-10-12,105.91,106.7,105.62,106.35,44178,106.232,27294
40,2015-10-13,105.74,107.39,105.31,106.59,63393,106.78,36249
41,2015-10-14,106.5,106.85,105.23,105.73,46265,105.992,29049
42,2015-10-15,106.5,108.0,106.26,107.89,56222,107.222,34452
43,2015-10-16,108.27,108.5,107.46,108.24,48762,108.033,28217
44,2015-10-19,108.25,109.97,107.94,109.47,68484,109.239,38788
45,2015-10-20,109.55,110.53,109.41,109.84,77045,109.915,43684
46,2015-10-21,110.67,111.56,110.01,110.09,76708,110.947,43804
47,2015-10-22,110.67,113.35,110.39,113.25,85141,112.315,50378
48,2015-10-23,114.21,114.21,111.85,113.09,65744,113.1025,34291
49,2015-10-26,113.07,113.58,112.12,113.52,45853,113.0975,27636
50,2015-10-27,113.29,114.27,113.24,113.77,49298,113.723,31262
51,2015-10-28,113.97,114.46,112.86,114.34,55154,113.7935,32797
52,2015-10-29,114.34,115.4,114.2,115.04,52017,114.8955,33067
53,2015-10-30,115.0,115.24,113.67,113.74,64196,114.2265,39684
54,2015-11-02,114.49,115.31,114.01,115.04,54708,114.813,32877
55,2015-11-03,114.97,116.4,114.54,115.54,60031,115.653,32918
56,2015-11-04,116.64,116.83,110.81,113.25,187086,113.124,96489
57,2015-11-05,113.26,113.93,111.6,113.0,110693,112.8245,55918
58,2015-11-06,114.6,116.75,114.57,115.67,142174,115.7355,74372
59,2015-11-09,115.8,116.73,115.18,116.42,75409,116.15,42932
60,2015-11-10,116.17,117.49,115.51,117.42,60885,116.752,35592
61,2015-11-11,117.55,117.58,116.43,116.52,55432,116.981,31125
62,2015-11-12,115.6,116.99,115.0,116.21,57388,116.2705,32516
63,2015-11-13,115.92,116.42,114.38,114.84,66667,115.175,37049
64,2015-11-16,113.5,116.08,113.33,115.92,47656,114.9315,29836
65,2015-11-17,116.11,117.55,115.51,116.13,54300,116.533,32290
66,2015-11-18,116.22,118.28,116.05,118.14,55410,117.505,32216
67,2015-11-19,118.15,119.16,117.64,118.71,50847,118.509,28806
68,2015-11-20,119.11,120.25,118.9,120.07,76810,119.719,39892
69,2015-11-23,120.3,120.65,119.0,119.42,58458,119.693,30977
70,2015-11-24,117.9,118.57,117.28,117.95,67956,118.109,37827
71,2015-11-25,118.29,119.34,118.15,118.67,36487,118.84,19337
72,2015-11-27,116.0,116.5,113.7,115.13,132973,114.909,65236
73,2015-11-30,115.56,115.58,113.31,113.47,138427,113.8785,74255
74,2015-12-01,114.15,115.46,113.66,115.39,71604,114.9565,40584
75,2015-12-02,115.39,115.47,113.83,114.0,66028,114.3755,40930
76,2015-12-03,114.17,114.66,111.44,111.89,84773,112.581,50576
77,2015-12-04,112.74,114.31,112.53,114.24,71308,113.6635,44197
78,2015-12-07,114.56,114.56,112.65,113.83,54468,113.471,33041
79,2015-12-08,113.35,113.45,112.4,112.48,59112,112.888,33947
80,2015-12-09,112.39,113.07,110.58,111.47,72988,111.667,43812
81,2015-12-10,111.15,111.58,110.17,110.76,57390,110.9245,36792
82,2015-12-11,109.91,109.95,107.61,108.04,103338,108.6005,60967
83,2015-12-14,108.68,109.87,108.27,109.35,79547,108.914,51840
84,2015-12-15,112.06,113.35,111.58,112.16,112786,112.54,65202
85,2015-12-16,114.69,114.69,111.8,113.79,102471,112.942,55052
86,2015-12-17,114.13,114.48,111.98,112.01,78353,112.828,46843
87,2015-12-18,112.01,112.44,107.35,107.72,204252,109.065,104409
88,2015-12-21,108.8,110.1,105.33,106.59,203495,106.643,102662
89,2015-12-22,106.99,107.2,105.83,106.74,71883,106.676,39060
90,2015-12-23,107.21,107.24,104.3,105.56,107238,105.4435,55180
91,2015-12-24,105.2,106.64,105.06,105.86,36780,105.943,18243
92,2015-12-28,106.5,108.2,106.33,107.25,76345,107.32,41421
93,2015-12-29,107.88,108.04,106.45,107.08,65081,107.1485,33600
94,2015-12-30,106.89,107.21,106.25,106.34,41095,106.674,21934
95,2015-12-31,106.14,106.31,105.06,105.08,52256,105.72,27587
96,2016-01-04,103.12,103.43,101.73,102.98,102797,102.4905,60194
97,2016-01-05,102.67,102.67,99.89,100.9,132978,101.015,73458
98,2016-01-06,99.38,101.46,99.36,100.36,122159,100.518,66059
99,2016-01-07,98.96,101.35,98.52,99.5,127447,100.09,68510
100,2016-01-08,100.63,100.92,99.0,99.25,86956,100.0445,47743
101,2016-01-11,100.21,100.45,98.55,99.92,77829,99.6295,43370
102,2016-01-12,100.97,101.85,100.34,101.46,69394,101.219,40799
103,2016-01-13,101.88,101.88,98.12,98.48,95686,99.8475,55029
104,2016-01-14,98.65,99.91,97.19,99.11,90540,98.7885,52974
105,2016-01-15,95.62,96.88,93.46,93.9,186012,94.6965,95647
106,2016-01-19,95.0,95.07,93.03,93.97,114878,94.1715,60535
107,2016-01-20,92.18,93.64,90.42,92.54,145127,91.894,82446
108,2016-01-21,92.87,94.86,92.3,94.02,99937,93.903,61436
109,2016-01-22,95.95,97.42,95.55,96.9,100734,96.77,60101
110,2016-01-25,96.42,96.68,95.12,95.29,58603,95.9915,36442
111,2016-01-26,95.5,96.43,95.09,96.27,59193,95.88,35937
112,2016-01-27,96.31,96.63,93.87,94.32,52888,95.275,36631
113,2016-01-28,95.2,95.2,92.37,93.53,62940,93.454,41978
114,2016-01-29,94.21,95.65,93.63,95.82,56293,95.0015,35055
115,2016-02-01,95.08,95.71,94.7,95.15,56946,95.226,36986
116,2016-02-02,94.0,94.17,92.86,93.12,57406,93.4615,37998
117,2016-02-03,94.1,95.41,92.42,95.14,84165,94.0195,56019
118,2016-02-04,94.87,96.73,94.6,95.43,70208,95.4975,46718
119,2016-02-05,95.32,95.39,93.47,93.9,73617,94.1145,49199
120,2016-02-08,92.58,92.96,89.51,92.12,118684,91.0995,75277
121,2016-02-09,90.15,93.2,89.04,92.32,135528,91.641,84178
122,2016-02-10,88.0,90.03,86.25,88.85,286986,88.6975,151972
123,2016-02-11,87.0,91.06,86.96,90.31,146423,89.255,88196
124,2016-02-12,91.52,91.59,89.61,91.15,90726,90.5795,53621
125,2016-02-16,92.47,93.31,91.79,92.91,73983,92.503,44374
126,2016-02-17,93.67,96.44,93.56,95.5,107474,95.5095,60792
127,2016-02-18,96.34,96.45,94.45,95.17,74265,95.0775,47691
128,2016-02-19,95.23,95.72,94.56,95.01,52339,95.0225,30870
129,2016-02-22,96.23,97.0,95.86,96.37,52671,96.4465,32229
130,2016-02-23,96.5,96.82,95.15,95.38,46652,95.8225,27770
131,2016-02-24,94.65,95.75,93.23,95.43,59139,94.546,37258
132,2016-02-25,95.92,95.95,94.35,95.65,34804,95.13,22197
133,2016-02-26,95.71,96.22,95.28,95.31,43218,95.6615,27025
134,2016-02-29,95.31,96.29,95.23,95.52,46730,95.816,31051
135,2016-03-01,95.9,97.66,95.53,97.65,58169,96.8355,35813
136,2016-03-02,97.67,97.83,96.41,97.0,53099,97.0,30397
137,2016-03-03,97.79,98.84,96.89,98.82,71781,98.192,41733
138,2016-03-04,99.0,99.21,97.9,98.48,56722,98.3975,33296
139,2016-03-07,98.57,99.71,98.48,99.39,59516,99.1785,35884
140,2016-03-08,98.93,98.98,97.6,97.82,48926,98.148,29717
141,2016-03-09,98.0,98.24,96.81,97.66,57054,97.3855,37758
142,2016-03-10,97.94,98.42,95.87,97.04,44159,97.0085,28362
143,2016-03-11,97.57,98.35,97.54,97.94,44901,97.9265,26906
144,2016-03-14,97.94,99.22,97.84,98.81,49526,98.743,28530
145,2016-03-15,98.05,98.33,97.39,98.24,48154,97.8795,30173
146,2016-03-16,98.16,99.08,97.47,98.44,50544,98.4285,30973
147,2016-03-17,98.28,99.91,98.28,99.6,49739,99.495,29189
148,2016-03-18,99.88,100.15,98.96,99.2,65972,99.618,28527
149,2016-03-21,98.92,99.12,97.7,98.46,56077,98.19,35007
150,2016-03-22,97.59,98.32,97.44,97.58,46714,97.7975,27243
151,2016-03-23,97.72,97.85,96.75,96.83,44483,97.195,28527
152,2016-03-24,96.55,97.49,96.3,97.22,40575,97.07,24018
153,2016-03-28,97.5,98.46,97.45,98.09,40588,98.057,22340
154,2016-03-29,98.0,98.37,97.36,98.16,41581,97.9225,26006
155,2016-03-30,98.9,99.09,98.34,98.91,46674,98.773,26817
156,2016-03-31,99.01,100.37,99.01,99.31,54642,99.528,28472
157,2016-04-01,98.81,99.34,98.58,99.07,44591,99.075,26140
158,2016-04-04,99.41,99.44,98.58,98.68,39945,98.9225,24077
159,2016-04-05,96.85,97.61,96.15,97.0,93237,96.848,51432
160,2016-04-06,96.96,97.63,96.83,97.48,58855,97.3685,31862
161,2016-04-07,97.11,97.42,95.92,96.16,64518,96.433,33746
162,2016-04-08,96.63,96.84,95.8,96.42,60573,96.315,31430
163,2016-04-11,96.93,97.64,96.19,96.27,49173,96.9355,29662
164,2016-04-12,96.28,97.53,96.07,97.35,51205,97.026,30656
165,2016-04-13,98.03,99.81,97.96,99.48,63394,99.206,37713
166,2016-04-14,99.8,99.87,98.26,98.63,54510,98.8595,32740
167,2016-04-15,98.5,98.89,98.18,98.59,44965,98.5565,23376
168,2016-04-18,99.6,101.95,99.58,101.48,93567,101.111,51097
169,2016-04-19,102.0,103.64,101.92,102.64,89726,102.9105,51653
170,2016-04-20,103.02,103.48,101.96,103.27,65382,102.88,41008
171,2016-04-21,103.36,104.12,102.65,102.91,55451,103.284,34632
172,2016-04-22,103.06,103.99,102.93,103.77,45459,103.6565,29251
173,2016-04-25,103.5,104.62,103.48,104.57,50949,104.277,31030
174,2016-04-26,104.58,105.57,104.18,104.89,50770,104.8475,28777
175,2016-04-27,105.19,105.6,104.76,105.28,44931,105.258,26872
176,2016-04-28,104.54,105.49,103.8,104.03,45746,104.6445,27202
177,2016-04-29,103.95,104.21,102.4,103.26,53443,103.053,33168
178,2016-05-02,103.3,104.57,102.8,104.36,41391,104.0955,24231
179,2016-05-03,103.88,103.99,103.19,103.78,50775,103.5745,34824
180,2016-05-04,103.31,104.48,103.2,103.67,50234,103.8005,31169
181,2016-05-05,103.98,105.13,103.45,104.93,52928,104.7075,34059
182,2016-05-06,104.51,105.74,104.39,105.54,60752,105.2545,38634
183,2016-05-09,106.01,106.68,104.97,105.34,65294,105.484,39139
184,2016-05-10,105.53,106.75,105.45,106.6,93503,106.3335,51593
185,2016-05-11,101.46,102.5,100.62,102.29,235848,101.823,118450
186,2016-05-12,102.39,102.85,101.12,101.71,93687,101.815,52957
187,2016-05-13,101.71,102.04,100.36,100.52,75135,100.988,47540
188,2016-05-16,100.41,100.67,99.37,100.36,74908,100.1215,42033
189,2016-05-17,100.79,101.29,99.55,99.94,67797,100.3595,39207
190,2016-05-18,99.59,99.77,98.36,99.0,78425,99.091,44889
191,2016-05-19,98.58,98.61,97.51,98.41,60177,98.1375,36230
192,2016-05-20,99.0,99.93,98.77,99.78,55645,99.574,31053
193,2016-05-23,99.6,100.33,99.12,99.18,42637,99.691,26017
194,2016-05-24,99.45,100.04,99.38,99.51,42503,99.7495,24323
195,2016-05-25,99.98,100.8,99.81,99.86,46519,100.217,26428
196,2016-05-26,99.89,100.49,99.57,99.81,30481,99.8995,17902
197,2016-05-27,99.81,100.53,99.81,100.29,33712,100.2125,19518
198,2016-05-31,99.85,99.89,98.57,99.22,72936,99.064,39001
199,2016-06-01,98.67,98.99,97.73,98.52,61261,98.2965,35882
200,2016-06-02,98.07,98.72,97.87,98.72,35468,98.424,21755
201,2016-06-03,98.66,98.92,97.73,98.75,56882,98.3515,31174
202,2016-06-06,98.96,99.12,98.46,98.78,40297,98.8495,23720
203,2016-06-07,99.0,99.04,98.32,98.35,45217,98.763,25668
204,2016-06-08,98.48,98.83,97.7,98.04,44968,98.146,25443
205,2016-06-09,97.82,97.93,97.1,97.84,45826,97.551,26731
206,2016-06-10,97.15,97.71,96.78,97.34,62472,97.277,33782
207,2016-06-13,96.75,98.98,96.7,97.57,75497,98.0845,39253
208,2016-06-14,97.2,98.55,97.17,98.4,50179,98.0535,29788
209,2016-06-15,98.19,99.0,98.19,98.27,54558,98.6995,31734
210,2016-06-16,97.8,98.63,96.86,98.38,61722,97.7255,34162
211,2016-06-17,98.41,99.15,98.27,99.0,71448,98.7665,32230
212,2016-06-20,100.08,100.96,99.5,99.57,70461,100.094,38264
213,2016-06-21,99.73,99.79,98.77,98.82,42441,99.005,25559
214,2016-06-22,99.08,99.62,98.7,98.79,41191,99.176,25710
215,2016-06-23,99.44,99.62,98.61,99.02,48306,98.928,28592
216,2016-06-24,96.01,97.28,95.14,95.72,105832,96.0635,62237
217,2016-06-27,94.91,95.23,94.0,94.38,79652,94.511,45538
218,2016-06-28,95.46,96.28,95.14,96.05,52482,95.697,31841
219,2016-06-29,96.91,97.29,96.28,96.98,50191,96.856,28732
220,2016-06-30,97.1,98.07,96.88,97.82,50731,97.5745,31535
221,2016-07-01,97.75,98.64,97.71,98.03,46023,98.079,27099
222,2016-07-05,97.77,98.0,97.16,97.66,40228,97.489,22872
