,date,open,high,low,close,volume,average,barCount
0,2015-08-31,116.04,117.65,92.0,112.76,7509157,109.706,3365280
1,2015-09-30,110.15,116.89,107.36,110.3,10235541,112.682,4900687
2,2015-10-30,109.07,121.22,107.31,119.5,9585987,113.2675,4319474
3,2015-11-30,119.87,123.82,111.0,118.3,6300111,118.2535,2874650
4,2015-12-31,118.75,119.86,104.82,105.26,7556668,111.8725,3641576
5,2016-01-29,102.61,105.85,92.39,97.34,10627832,98.1485,5267088
6,2016-02-29,96.47,98.89,92.59,96.69,6775064,95.552,3597910
7,2016-03-31,97.65,110.42,97.42,108.99,6244030,104.037,2979643
8,2016-04-29,108.78,112.39,92.51,93.74,7137661,104.578,3443712
9,2016-05-31,93.96,100.73,89.47,99.86,7488301,94.526,3501112
10,2016-06-30,99.02,101.89,91.5,95.6,6299931,96.3065,3285811
11,2016-07-29,95.48,104.55,94.37,104.21,5586261,99.1235,2844152
12,2016-08-31,104.42,110.23,104.0,106.1,5108491,107.496,2673748
13,2016-09-30,106.14,116.18,102.53,113.05,8191246,111.125,3935370
14,2016-10-31,112.71,118.69,112.28,113.54,5668738,115.8415,2807936
15,2016-11-30,113.46,113.77,104.08,110.52,5756051,109.6775,3020824
16,2016-12-30,110.39,118.02,108.25,115.82,4627741,114.014,2421456
17,2017-01-31,115.82,122.44,114.76,121.35,4480815,119.456,2198514
18,2017-02-28,127.08,137.48,127.01,136.99,4554395,132.4875,2114407
19,2017-03-31,137.89,144.5,137.05,143.66,4348955,140.6825,2176172
20,2017-04-28,143.71,145.46,140.06,143.65,3014513,143.013,1637838
21,2017-05-31,145.1,156.65,144.27,152.76,5183398,151.689,2511545
22,2017-06-30,153.17,155.98,142.2,144.02,5325592,147.4195,2801333
23,2017-07-31,144.95,153.99,142.41,148.73,3289138,148.2445,1753015
24,2017-08-31,149.1,164.52,148.41,164.0,5264869,159.026,2615583
25,2017-09-29,164.8,164.94,149.16,154.12,5455696,157.3255,2679629
26,2017-10-31,154.26,169.65,152.46,169.04,4039929,158.704,1933818
27,2017-11-30,169.87,176.24,165.28,171.85,4542554,171.98,2038283
28,2017-12-29,169.9,177.2,166.46,169.23,3985284,171.855,1999466
29,2018-01-31,170.16,180.1,164.7,167.43,5103066,173.533,2658338
30,2018-02-28,167.17,180.62,150.24,178.12,7342898,166.366,3977667
31,2018-03-29,178.55,183.5,164.94,167.78,5623095,174.605,3013738
32,2018-04-30,167.88,178.94,160.63,165.26,5272994,169.247,2850669
33,2018-05-31,166.41,190.37,165.27,186.87,4756777,183.448,2446441
34,2018-06-29,187.99,194.2,180.73,185.11,3656969,188.5525,1960826
35,2018-07-31,183.87,195.96,183.42,190.29,2841815,190.4245,1570872
36,2018-08-31,199.13,228.87,197.31,227.63,5486705,212.515,2789132
37,2018-09-28,228.49,229.67,215.3,225.74,4724854,222.256,2479604
38,2018-10-31,227.94,233.47,206.09,218.86,5775954,220.503,3131204
39,2018-11-30,219.07,222.36,170.26,178.58,7249186,191.619,3721076
40,2018-12-31,184.39,184.94,146.6,157.74,6851826,163.4455,3252344
41,2019-01-31,154.89,169.0,142.0,166.44,6383564,153.0825,3044939
42,2019-02-28,166.93,175.87,165.93,173.15,3478346,171.715,1746865
43,2019-03-29,174.28,197.69,169.5,189.95,4956586,184.808,2528564
44,2019-04-30,191.64,208.48,188.38,200.67,3812115,200.0685,1944517
45,2019-05-31,209.88,215.31,174.99,175.07,5642571,192.61,2960553
46,2019-06-28,175.58,201.57,170.27,197.92,3592406,191.782,1902144
47,2019-07-31,203.28,221.37,198.41,213.04,3418242,206.857,1698398
48,2019-08-30,213.82,218.03,192.58,208.74,5078104,204.957,2536482
49,2019-09-30,206.42,226.42,204.22,223.97,3768842,218.4045,1930184
50,2019-10-31,225.13,249.75,215.13,248.76,4568866,234.527,2263460
51,2019-11-29,249.54,268.0,249.16,267.25,3096009,261.4015,1507934
52,2019-12-31,267.59,293.97,256.29,293.65,4059937,276.713,1892074
53,2020-01-31,296.24,327.85,292.75,309.51,5474185,312.1455,2608265
54,2020-02-28,304.29,327.21,256.37,273.36,5470838,302.602,2835290
55,2020-03-31,282.28,304.0,212.61,254.29,11493723,261.128,6111936
56,2020-04-30,246.57,294.53,236.9,293.8,5861461,270.933,2906587
57,2020-05-29,286.29,324.24,285.85,317.94,5260111,308.8375,2617657
58,2020-06-30,317.79,372.38,317.21,364.8,5769313,348.166,2943742
59,2020-07-31,365.02,425.66,356.65,425.04,5270439,384.5155,2663682
60,2020-08-14,433.23,464.17,431.57,459.63,3530183,447.2405,1672404
