,date,open,high,low,close,volume,average,barCount
0,2015-08-31,99.0,101.88,87.5,95.02,765471,96.224,461722
1,2015-09-30,92.77,98.97,92.6,98.53,960244,96.7335,580832
2,2015-10-30,98.5,113.96,97.13,112.25,1375501,106.3535,783826
3,2015-11-30,112.5,114.99,109.6,114.16,1038667,112.7815,599023
4,2015-12-31,114.52,120.23,112.91,118.14,867538,116.559,535382
5,2016-01-29,117.25,124.35,113.0,123.78,1309941,118.0625,807777
6,2016-02-29,123.08,124.83,112.71,117.19,1226225,118.196,758060
7,2016-03-31,117.91,126.96,115.32,125.68,995594,121.398,598950
8,2016-04-29,125.19,129.8,124.87,126.49,852367,127.4045,544403
9,2016-05-31,126.65,131.96,121.62,122.06,840802,126.818,530080
10,2016-06-30,121.61,124.08,116.08,120.34,891396,121.0645,568872
11,2016-07-29,119.72,128.6,117.43,117.65,848728,122.4385,491242
12,2016-08-31,117.88,120.02,113.96,115.66,788350,116.813,491748
13,2016-09-30,115.51,119.24,114.13,115.36,690903,115.9685,454170
14,2016-10-31,115.01,115.74,110.33,112.57,811886,113.135,507633
15,2016-11-30,112.65,121.87,110.83,119.27,656674,116.851,442408
16,2016-12-30,118.96,124.0,117.71,121.72,516557,121.537,347439
17,2017-01-31,121.86,123.34,118.18,122.57,564938,121.326,367992
18,2017-02-28,121.9,128.9,121.7,127.65,456148,126.0265,292267
19,2017-03-31,128.02,130.19,127.34,129.61,640760,128.666,413699
20,2017-04-28,129.61,142.79,128.65,139.93,595651,134.907,376116
21,2017-05-31,139.86,151.15,139.84,150.89,549599,146.065,348023
22,2017-06-30,150.62,155.46,148.04,153.16,500056,152.0455,325670
23,2017-07-31,153.44,159.98,151.77,155.14,513373,155.4215,334276
24,2017-08-31,154.98,160.0,153.23,159.97,464969,157.0015,309802
25,2017-09-29,159.87,161.72,153.27,156.68,558807,157.4115,354699
26,2017-10-31,156.0,167.9,155.8,166.91,509198,163.621,334738
27,2017-11-30,165.72,173.17,163.52,171.97,398499,168.533,277028
28,2017-12-29,172.65,175.78,170.39,172.12,346497,172.857,226378
29,2018-01-31,173.73,178.7,170.27,171.14,530719,174.497,339021
30,2018-02-28,170.27,173.54,153.86,157.74,755941,162.3475,533886
31,2018-03-29,157.8,163.23,146.84,156.38,740323,156.0655,505825
32,2018-04-30,158.27,167.95,155.01,167.44,642746,161.406,445399
33,2018-05-31,166.38,167.3,159.08,160.01,495414,162.571,349790
34,2018-06-29,159.9,171.56,155.1,156.69,615199,163.258,390834
35,2018-07-31,155.99,160.98,154.71,157.54,485445,157.981,328761
36,2018-08-31,156.57,163.34,153.13,162.23,476420,158.9775,307122
37,2018-09-28,161.81,167.83,156.56,167.29,457920,162.925,297003
38,2018-10-31,168.37,178.96,161.82,176.9,743144,170.6165,502502
39,2018-11-30,176.67,190.88,174.0,188.51,514597,183.742,354322
40,2018-12-31,188.1,188.42,169.04,177.57,465468,179.7645,324118
41,2019-01-31,175.41,189.42,174.16,178.78,515984,181.548,349971
42,2019-02-28,179.55,184.71,173.41,183.84,538722,178.1245,348485
43,2019-03-29,184.59,190.52,178.27,189.9,408092,183.81,274877
44,2019-04-30,190.5,200.0,186.7,197.57,356114,192.952,236869
45,2019-05-31,195.87,201.15,193.32,198.27,350711,198.0005,252653
46,2019-06-28,198.36,207.99,197.32,207.66,388917,203.2575,263609
47,2019-07-31,208.86,218.96,206.19,210.72,343753,212.965,238088
48,2019-08-30,211.18,221.93,209.42,217.97,384392,216.8855,270579
49,2019-09-30,217.93,220.84,207.33,214.71,385748,212.3885,251391
50,2019-10-31,211.13,213.47,191.5,196.7,677979,202.4225,404939
51,2019-11-29,197.78,197.97,187.55,194.48,631805,192.4695,359425
52,2019-12-31,195.38,199.0,192.35,197.61,335782,195.892,210356
53,2020-01-31,198.0,217.1,197.81,213.97,442304,208.6475,286946
54,2020-02-28,214.99,218.39,188.81,194.17,418235,209.766,286026
55,2020-03-31,193.81,207.16,124.23,165.35,1202224,163.582,787157
56,2020-04-30,160.22,190.41,155.0,187.56,666102,178.061,449300
57,2020-05-29,184.0,190.66,167.85,186.32,474862,180.829,338047
58,2020-06-30,186.71,202.73,178.88,184.47,502852,189.7285,347366
59,2020-07-31,184.95,202.52,182.62,194.28,423618,192.1695,292441
60,2020-08-14,194.33,207.42,193.59,207.03,163437,201.9575,107768
