,date,open,high,low,close,volume,average,barCount
0,2018-12-31,22.0,22.75,13.03,15.27,384136,18.182,163719
1,2019-01-31,14.93,17.94,14.4,16.6,188974,16.054,80253
2,2019-02-28,16.8,24.4,15.9,22.6,186300,20.139,88833
3,2019-03-29,23.09,23.39,18.21,20.35,158038,20.5685,84002
4,2019-04-30,20.54,29.79,19.54,26.03,177703,24.8255,79555
5,2019-05-31,26.31,28.95,20.74,20.78,131511,24.114,71898
6,2019-06-28,20.79,20.99,13.49,14.64,395252,16.3285,163332
7,2019-07-31,14.86,15.47,13.04,13.1,199445,14.1565,112085
8,2019-08-30,13.2,15.75,11.54,15.73,298876,13.7755,161684
9,2019-09-30,16.1,18.48,14.35,15.92,565259,17.0455,300256
10,2019-10-31,15.87,17.24,13.53,16.75,222643,15.2555,123686
11,2019-11-29,16.8,21.0,15.52,20.36,266403,18.6785,132809
12,2019-12-31,20.3,21.5,18.22,19.56,273616,19.4615,155620
13,2020-01-31,19.57,23.5,17.68,20.51,577984,21.269,236712
14,2020-02-28,20.66,36.0,17.91,25.93,2748806,25.0245,984808
15,2020-03-31,27.0,34.98,19.31,29.95,3460345,27.822,1326758
16,2020-04-30,30.05,56.38,29.44,45.99,2638037,43.5835,1124600
17,2020-05-29,48.71,87.0,46.13,61.5,5160221,64.2665,2124839
18,2020-06-30,62.69,67.04,55.35,64.21,2668031,61.9125,1110735
19,2020-07-31,62.99,95.21,55.8,74.1,5955943,78.1605,2325050
20,2020-08-14,74.87,78.62,67.0,69.15,1328704,71.904,541556
