,date,open,high,low,close,volume,average,barCount
0,2015-08-31,255.56,260.95,195.0,249.06,522553,239.7135,311527
1,2015-09-30,240.34,271.57,236.97,248.4,666766,252.8175,403608
2,2015-10-30,247.51,249.84,202.0,206.93,841305,221.629,512663
3,2015-11-30,208.92,234.59,205.8,230.26,627274,221.472,383283
4,2015-12-31,231.06,243.64,214.87,240.01,489080,230.6515,304334
5,2016-01-29,230.72,231.38,182.41,191.2,621318,204.3355,404896
6,2016-02-29,188.76,199.52,141.05,191.93,1066634,166.285,631010
7,2016-03-31,194.25,239.88,181.5,229.77,846787,215.2955,494347
8,2016-04-29,244.83,269.34,233.25,240.76,1123437,250.618,620877
9,2016-05-31,241.5,243.19,203.65,223.23,824029,217.0255,481390
10,2016-06-30,221.48,240.85,187.87,212.28,940658,210.973,547168
11,2016-07-29,206.43,235.28,206.0,234.79,574015,222.057,339685
12,2016-08-31,235.5,236.63,208.65,212.01,479875,224.288,283565
13,2016-09-30,209.01,211.1,193.45,204.03,538419,201.986,316635
14,2016-10-31,210.55,215.67,192.0,197.73,723868,202.763,413157
15,2016-11-30,198.04,199.35,178.19,189.4,808364,188.927,461675
16,2016-12-30,188.25,223.8,180.0,213.69,736132,201.2795,417678
17,2017-01-31,215.3,258.46,210.96,251.93,837611,237.1035,457938
18,2017-02-28,253.05,287.39,242.01,249.99,981494,264.108,538510
19,2017-03-31,254.11,282.0,242.78,278.3,881871,259.367,495427
20,2017-04-28,286.9,314.8,284.58,314.07,966745,303.3435,531137
21,2017-05-31,314.88,342.89,290.76,341.01,1209913,315.928,677241
22,2017-06-30,343.98,386.99,334.21,361.61,1499305,365.6945,817005
23,2017-07-31,370.24,371.35,303.13,323.47,1450353,326.834,775320
24,2017-08-31,323.0,370.0,311.22,355.9,1052901,348.6475,552536
25,2017-09-29,356.12,389.61,335.4,341.1,870211,359.3,455100
26,2017-10-31,342.66,363.0,316.66,331.53,936396,343.7435,483500
27,2017-11-30,332.25,332.61,292.63,308.85,1156458,308.7595,596724
28,2017-12-29,305.44,347.44,300.0,311.35,843123,324.5595,432979
29,2018-01-31,312.18,360.5,305.68,354.31,931052,337.747,481419
30,2018-02-28,351.0,359.99,294.76,343.06,830144,333.7725,453511
31,2018-03-29,345.05,348.67,248.21,266.13,1194072,306.0095,640581
32,2018-04-30,256.26,309.5,244.59,293.9,1456057,286.51,792065
33,2018-05-31,293.51,312.99,273.42,284.73,1147151,288.9305,613808
34,2018-06-29,285.86,373.73,283.83,342.95,1639087,337.8185,829132
35,2018-07-31,360.28,364.78,286.13,298.14,1339986,313.4175,669109
36,2018-08-31,297.99,387.46,288.2,301.66,2080110,336.1695,1114542
37,2018-09-28,296.94,314.96,252.25,264.77,1444264,283.2865,746539
38,2018-10-31,305.49,347.16,247.77,337.32,2109356,290.2225,1072981
39,2018-11-30,338.26,366.75,325.0,350.48,1027047,344.893,559090
40,2018-12-31,360.1,379.49,294.09,332.8,1118621,344.152,626767
41,2019-01-31,306.07,352.0,279.28,307.02,1324085,312.9675,721328
42,2019-02-28,305.42,324.24,288.77,319.88,986302,307.7355,528378
43,2019-03-29,306.75,307.13,254.46,279.86,1678522,278.74,884364
44,2019-04-30,282.61,296.17,231.13,238.69,1760256,262.2005,935193
45,2019-05-31,239.0,258.35,184.1,185.16,2101126,216.7805,1056637
46,2019-06-28,185.35,234.74,176.99,223.46,1635062,211.4345,807208
47,2019-07-31,230.21,266.07,222.22,241.61,1469613,240.115,773929
48,2019-08-30,242.65,244.51,211.0,225.61,1017802,225.1495,529291
49,2019-09-30,224.08,253.5,218.36,240.87,1007491,236.3545,532780
50,2019-10-31,241.5,340.84,224.28,314.92,1678712,277.5385,907159
51,2019-11-29,316.32,361.2,309.26,329.94,1129663,337.7295,595755
52,2019-12-31,329.4,435.31,327.25,418.33,1442022,385.7575,792618
53,2020-01-31,424.5,653.0,421.71,650.57,2700940,528.625,1502726
54,2020-02-28,673.69,968.99,611.52,667.99,2909128,795.398,1698910
55,2020-03-31,711.36,806.98,350.51,524.0,2771339,541.36,1659915
56,2020-04-30,504.01,869.82,446.4,781.88,2414819,669.679,1449326
57,2020-05-29,755.01,843.29,683.04,835.0,1778761,790.0575,1022412
58,2020-06-30,857.24,1087.69,854.1,1079.81,1588273,961.927,894510
59,2020-07-31,1083.0,1794.99,1080.5,1430.76,1962263,1470.2565,1112353
60,2020-08-14,1450.64,1668.8,1364.99,1650.71,553101,1522.9945,320599
