,date,open,high,low,close,volume,average,barCount
0,2015-08-21,107.3,109.28,96.61,98.84,843514,102.3865,412116
1,2015-08-28,93.38,103.34,90.0,102.48,766990,98.831,443896
2,2015-09-04,102.3,103.03,99.15,100.97,430319,101.0135,248995
3,2015-09-11,102.95,104.95,101.33,104.48,302639,103.1055,179230
4,2015-09-18,104.65,105.95,101.83,102.84,367118,103.535,203923
5,2015-09-25,103.68,103.83,99.24,100.3,316928,101.363,187436
6,2015-10-02,99.9,103.47,97.77,103.0,352676,100.5905,213602
7,2015-10-09,103.7,106.05,102.61,105.56,285309,104.0475,171472
8,2015-10-16,105.91,108.5,105.23,108.24,258822,106.8775,155261
9,2015-10-23,108.25,114.21,107.94,113.09,373124,111.1125,210945
10,2015-10-30,113.07,115.4,112.12,113.74,266520,113.98,164446
11,2015-11-06,114.49,116.83,110.81,115.67,554693,114.174,292574
12,2015-11-13,115.8,117.58,114.38,114.84,315782,116.228,179214
13,2015-11-20,113.5,120.25,113.33,120.07,285025,117.6655,163040
14,2015-11-27,120.3,120.65,113.7,115.13,295876,117.074,153377
15,2015-12-04,115.56,115.58,111.44,114.24,432143,113.843,250542
16,2015-12-11,114.56,114.56,107.61,108.04,347297,111.1225,208559
17,2015-12-18,108.68,114.69,107.35,107.72,577410,110.9215,323346
18,2015-12-24,108.8,110.1,104.3,105.86,419398,106.2805,215145
19,2015-12-31,106.5,108.2,105.06,105.08,234778,106.803,124542
20,2016-01-08,103.12,103.43,98.52,99.25,572339,100.8205,315964
21,2016-01-15,100.21,101.88,93.46,93.9,519463,97.969,287819
22,2016-01-22,95.0,97.42,90.42,96.9,460679,93.964,264518
23,2016-01-29,96.42,96.68,92.37,95.82,289919,95.095,186043
24,2016-02-05,95.08,96.73,92.42,93.9,342344,94.45,226920
25,2016-02-12,92.58,93.2,86.25,91.15,778349,89.9005,453244
26,2016-02-19,92.47,96.45,91.79,95.01,308063,94.6005,183727
27,2016-02-26,96.23,97.0,93.23,95.31,236486,95.511,146479
28,2016-03-04,95.31,99.21,95.23,98.48,286503,97.3485,172290
29,2016-03-11,98.57,99.71,95.87,97.94,254558,97.9815,158627
30,2016-03-18,97.94,100.15,97.39,99.2,263937,98.8855,147392
31,2016-03-24,98.92,99.12,96.3,97.22,187851,97.615,114795
32,2016-04-01,97.5,100.37,97.36,99.07,228078,98.7305,129775
33,2016-04-08,99.41,99.44,95.8,96.42,317130,97.0195,172547
34,2016-04-15,96.93,99.87,96.07,98.59,263249,98.175,154147
35,2016-04-22,99.6,104.12,99.58,103.77,349586,102.5795,207641
36,2016-04-29,103.5,105.6,102.4,103.26,245842,104.3765,147049
37,2016-05-06,103.3,105.74,102.8,105.54,256081,104.336,162917
38,2016-05-13,106.01,106.75,100.36,100.52,563470,102.883,309679
39,2016-05-20,100.41,101.29,97.51,99.78,336954,99.485,193412
40,2016-05-27,99.6,100.8,99.12,100.29,195855,99.951,114188
41,2016-06-03,99.85,99.89,97.73,98.75,226549,98.5775,127812
42,2016-06-10,98.96,99.12,96.78,97.34,238782,98.04,135344
43,2016-06-17,96.75,99.15,96.7,99.0,313406,98.2715,167167
44,2016-06-24,100.08,100.96,95.14,95.72,308233,98.255,180362
