,date,open,high,low,close,volume,average,barCount
0,2018-12-07,22.0,22.75,18.51,18.6,125364,21.0455,53128
1,2018-12-14,18.9,20.66,17.99,18.32,118997,18.7645,51449
2,2018-12-21,18.33,18.47,13.95,14.47,80287,15.8965,32918
3,2018-12-28,14.32,14.95,13.03,14.15,50118,13.9575,21901
4,2019-01-04,14.24,17.5,14.21,16.96,61104,15.5215,26922
5,2019-01-11,17.54,17.94,16.0,17.0,53800,16.79,23635
6,2019-01-18,17.0,17.06,16.05,16.69,19354,16.6615,8575
7,2019-01-25,16.62,16.64,14.4,14.91,25183,15.0585,11327
8,2019-02-01,14.84,17.48,14.45,16.22,44507,15.9405,16674
9,2019-02-08,16.22,18.39,15.95,17.99,29771,17.476,13546
10,2019-02-15,17.99,21.47,17.6,21.44,54625,19.4395,26771
11,2019-02-22,21.51,21.52,18.88,19.88,34877,20.06,16725
12,2019-03-01,20.54,24.4,19.83,22.27,69433,22.4545,33619
13,2019-03-08,22.47,22.8,19.61,20.93,44583,20.898,24792
14,2019-03-15,20.99,22.19,19.12,21.82,43902,20.497,24179
15,2019-03-22,21.74,22.6,18.75,19.0,37634,20.5085,18007
16,2019-03-29,19.0,20.8,18.21,20.35,23902,19.504,12639
17,2019-04-05,20.54,26.23,19.54,25.96,53128,22.5465,21525
18,2019-04-12,25.9,29.79,24.26,24.61,55427,26.9895,23070
19,2019-04-18,24.99,26.22,22.31,22.51,28353,23.883,13995
20,2019-04-26,22.7,27.3,22.51,26.26,26598,25.262,14141
21,2019-05-03,26.28,28.95,24.97,27.2,41808,26.7875,20791
22,2019-05-10,26.38,27.81,22.75,24.92,33336,24.8885,18971
23,2019-05-17,24.46,24.89,21.68,23.08,31713,23.308,16868
24,2019-05-24,22.85,23.6,21.01,21.83,24513,22.195,14019
25,2019-05-31,22.3,22.46,20.74,20.78,14332,21.4175,8073
26,2019-06-07,20.79,20.99,17.2,17.52,125890,18.193,46487
27,2019-06-14,17.85,17.99,15.32,15.4,123958,16.1905,48810
28,2019-06-21,15.54,16.31,14.5,14.7,78191,15.462,33596
29,2019-06-28,14.41,14.7,13.49,14.64,67211,14.1005,34439
30,2019-07-05,14.86,15.47,14.0,14.96,36741,14.752,21153
31,2019-07-12,14.89,15.22,14.05,14.2,49736,14.3915,27485
32,2019-07-19,14.28,14.59,13.9,14.11,40829,14.1505,23523
33,2019-07-26,14.18,14.65,13.12,14.12,50027,13.809,26555
34,2019-08-02,14.17,14.33,12.4,12.73,43915,13.1085,26221
35,2019-08-09,12.55,14.5,11.54,13.33,69782,12.8395,37539
36,2019-08-16,13.42,13.68,12.47,13.16,40646,12.9515,23207
37,2019-08-23,13.25,14.65,13.02,13.88,79681,13.9875,37255
38,2019-08-30,14.01,15.75,14.0,15.73,86962,14.968,50831
39,2019-09-06,16.1,16.5,14.35,15.88,62637,15.4235,37226
40,2019-09-13,15.98,18.46,15.36,16.71,178251,16.9175,91699
41,2019-09-20,16.73,18.42,16.69,18.07,180513,17.75,92342
42,2019-09-27,18.24,18.48,15.67,15.9,132351,17.1215,71320
43,2019-10-04,15.79,16.27,14.41,15.51,59670,15.177,35367
44,2019-10-11,15.45,15.63,13.87,14.055,61814,14.7465,33095
45,2019-10-18,14.19,14.85,13.53,14.81,46726,14.346,25964
46,2019-10-25,14.9,17.1,14.66,17.01,40366,16.309,21380
47,2019-11-01,17.01,17.24,15.52,15.66,38580,16.7275,23022
48,2019-11-08,15.9,17.72,15.83,17.49,64904,17.011,34102
49,2019-11-15,17.33,19.43,17.2,19.37,74722,18.238,33846
50,2019-11-22,19.21,20.73,18.67,20.69,59162,19.948,30894
51,2019-11-29,20.9,21.0,19.82,20.36,54605,20.4655,26494
52,2019-12-06,20.3,21.5,18.82,18.94,76301,20.404,40110
53,2019-12-13,19.07,19.3,18.32,18.62,67474,18.765,42303
54,2019-12-20,18.6,20.0,18.22,19.83,84615,19.1445,45101
55,2019-12-27,19.79,20.11,19.25,19.52,27604,19.6635,17083
56,2020-01-03,19.54,19.94,18.72,18.89,34392,19.164,20267
57,2020-01-10,18.7,21.0,17.68,19.14,76922,19.0985,36491
58,2020-01-17,19.26,21.87,18.6,20.62,111255,20.7515,45448
59,2020-01-24,20.79,23.2,20.64,21.12,155693,22.0435,60032
60,2020-01-31,22.1,23.5,20.05,20.51,217341,21.9165,85497
61,2020-02-07,20.66,23.39,19.67,23.24,168719,21.27,69505
62,2020-02-14,23.54,23.95,18.5,19.0,395233,20.279,161109
63,2020-02-21,19.14,19.35,17.91,18.23,120215,18.7005,60759
64,2020-02-28,19.29,36.0,18.3,25.93,2064637,26.608,693435
65,2020-03-06,27.0,30.75,25.21,29.61,869340,28.3545,293632
66,2020-03-13,29.96,30.0,19.31,21.3,565925,23.5525,219462
67,2020-03-20,23.03,34.98,22.22,28.2,1448799,29.0625,547321
68,2020-03-27,28.71,31.09,24.36,30.05,438340,27.509,201201
69,2020-04-03,30.59,35.66,28.27,34.84,476871,31.839,220041
70,2020-04-09,34.91,35.19,30.98,31.86,249345,32.973,120923
71,2020-04-17,32.0,49.0,31.71,46.85,692535,40.7885,295905
72,2020-04-24,44.99,56.38,43.11,50.5,983186,50.472,396680
73,2020-05-01,51.53,51.7,45.01,47.93,556135,47.8905,234015
74,2020-05-08,48.05,59.88,47.23,59.25,674305,52.9365,271069
75,2020-05-15,59.6,68.49,59.14,66.69,933315,64.659,381077
76,2020-05-22,86.19,87.0,65.31,69.0,2053674,74.653,860371
77,2020-05-29,66.5,66.59,46.13,61.5,1316829,55.794,534500
78,2020-06-05,62.69,63.9,55.35,58.19,749217,59.6875,307408
79,2020-06-12,58.35,66.69,56.72,62.0,602398,61.099,247559
80,2020-06-19,65.9,66.98,62.58,66.35,534678,64.4885,221896
81,2020-06-26,65.92,67.04,58.51,61.28,616642,62.888,261844
82,2020-07-02,61.82,65.16,55.8,58.57,549609,60.4215,231285
83,2020-07-10,58.55,65.35,57.1,62.61,443285,61.7525,185706
84,2020-07-17,64.07,95.21,63.8,94.85,2495022,82.2775,957517
85,2020-07-24,87.86,90.85,66.54,73.21,1560449,80.2095,621333
86,2020-07-31,80.57,83.85,73.6,74.1,1072672,79.138,401237
87,2020-08-07,74.87,78.62,73.01,74.1,499950,75.2035,217371
88,2020-08-14,74.27,75.75,67.0,69.15,828753,69.9135,324185
